country,iso3,year,population,cases,disease,cases_per_100k
China,CHN,2021,1425893465.0,554,Measles,0.03885283252911185
China,CHN,2021,1425893465.0,780000,Tuberculosis,54.702543994056384
"China, Hong Kong SAR",HKG,2021,7494578.0,4300,Tuberculosis,57.374811497058275
"China, Macao SAR",MAC,2021,686607.0,390,Tuberculosis,56.80105213025792
Colombia,COL,2021,51516562.0,102418,Malaria,198.80596845728954
Colombia,COL,2021,51516562.0,0,Measles,0.0
Colombia,COL,2021,51516562.0,21000,Tuberculosis,40.7635897752649
Comoros,COM,2021,821625.0,10537,Malaria,1282.4585425224402
Comoros,COM,2021,821625.0,0,Measles,0.0
Comoros,COM,2021,821625.0,290,Tuberculosis,35.295907500380345
Congo,COG,2021,5835806.0,1280047,Malaria,21934.36519308558
Congo,COG,2021,5835806.0,160,Measles,2.7416949775232418
Congo,COG,2021,5835806.0,22000,Tuberculosis,376.9830594094458
Cook Islands,COK,2021,17003.0,2,Tuberculosis,11.762630124095747
Costa Rica,CRI,2021,5153957.0,189,Malaria,3.6670853094040172
Costa Rica,CRI,2021,5153957.0,0,Measles,0.0
Costa Rica,CRI,2021,5153957.0,540,Tuberculosis,10.477386598297192
Croatia,HRV,2021,4060135.0,0,Measles,0.0
Croatia,HRV,2021,4060135.0,160,Tuberculosis,3.940755664528396
Cuba,CUB,2021,11256372.0,0,Measles,0.0
Cuba,CUB,2021,11256372.0,770,Tuberculosis,6.840569945627241
Curaçao,CUW,2021,190338.0,16,Tuberculosis,8.406098624552113
Cyprus,CYP,2021,1244188.0,1,Measles,0.08037370558147161
Cyprus,CYP,2021,1244188.0,55,Tuberculosis,4.420553806980939
Czechia,CZE,2021,10510751.0,0,Measles,0.0
Czechia,CZE,2021,10510751.0,400,Tuberculosis,3.8056272097017616
Côte d'Ivoire,CIV,2021,27478249.0,35000,Tuberculosis,127.37347274202224
Côte d’Ivoire,CIV,2021,27478249.0,7443146,Malaria,27087.410118454052
Côte d’Ivoire,CIV,2021,27478249.0,1837,Measles,6.685287697916997
Democratic People's Republic of Korea,PRK,2021,25971909.0,2357,Malaria,9.075189659720431
Democratic People's Republic of Korea,PRK,2021,25971909.0,133000,Tuberculosis,512.0917372689086
Democratic Republic of the Congo,COD,2021,95894118.0,30518545,Malaria,31825.252305881786
Democratic Republic of the Congo,COD,2021,95894118.0,54471,Measles,56.803275462630566
Democratic Republic of the Congo,COD,2021,95894118.0,305000,Tuberculosis,318.0591326779814
Denmark,DNK,2021,5854240.0,0,Measles,0.0
Denmark,DNK,2021,5854240.0,220,Tuberculosis,3.757960042635765
Djibouti,DJI,2021,1105557.0,58445,Malaria,5286.475505107381
Djibouti,DJI,2021,1105557.0,0,Measles,0.0
Djibouti,DJI,2021,1105557.0,2300,Tuberculosis,208.03992919406238
Dominica,DMA,2021,72412.0,0,Measles,0.0
Dominica,DMA,2021,72412.0,12,Tuberculosis,16.571838921725682
Dominican Republic,DOM,2021,11117873.0,378,Malaria,3.3999309040497225
Dominican Republic,DOM,2021,11117873.0,0,Measles,0.0
Dominican Republic,DOM,2021,11117873.0,5000,Tuberculosis,44.97263100594871
Ecuador,ECU,2021,17797737.0,2175,Malaria,12.22065479448314
Ecuador,ECU,2021,17797737.0,0,Measles,0.0
Ecuador,ECU,2021,17797737.0,8500,Tuberculosis,47.75888080602607
Egypt,EGY,2021,109262178.0,0,Measles,0.0
Egypt,EGY,2021,109262178.0,11000,Tuberculosis,10.067527667259204
El Salvador,SLV,2021,6314167.0,0,Malaria,0.0
El Salvador,SLV,2021,6314167.0,0,Measles,0.0
El Salvador,SLV,2021,6314167.0,3100,Tuberculosis,49.09594567264375
Equatorial Guinea,GNQ,2021,1634466.0,348428,Malaria,21317.543466795883
Equatorial Guinea,GNQ,2021,1634466.0,43,Measles,2.630828662082907
Equatorial Guinea,GNQ,2021,1634466.0,4500,Tuberculosis,275.31927859007163
Eritrea,ERI,2021,3620312.0,92898,Malaria,2566.021934021156
Eritrea,ERI,2021,3620312.0,25,Measles,0.6905482179436468
Eritrea,ERI,2021,3620312.0,2700,Tuberculosis,74.57920753791386
Estonia,EST,2021,1328701.0,0,Measles,0.0
Estonia,EST,2021,1328701.0,120,Tuberculosis,9.031377262454082
Eswatini,SWZ,2021,1192271.0,306,Malaria,25.665305958125295
Eswatini,SWZ,2021,1192271.0,29,Measles,2.4323329176001094
Eswatini,SWZ,2021,1192271.0,4200,Tuberculosis,352.26890530760204
Ethiopia,ETH,2021,120283026.0,3783896,Malaria,3145.8270762160573
Ethiopia,ETH,2021,120283026.0,1953,Measles,1.623670491961185
Ethiopia,ETH,2021,120283026.0,143000,Tuberculosis,118.88626746054759
Fiji,FJI,2021,924610.0,610,Tuberculosis,65.9737619104271
Finland,FIN,2021,5535992.0,3,Measles,0.054190829755534325
Finland,FIN,2021,5535992.0,200,Tuberculosis,3.612721983702289
France,FRA,2021,64531444.0,16,Measles,0.024794114323553645
France,FRA,2021,64531444.0,4900,Tuberculosis,7.593197511588305
French Polynesia,PYF,2021,304032.0,39,Tuberculosis,12.827597095042627
Gabon,GAB,2021,2341179.0,535939,Malaria,22891.842101778635
Gabon,GAB,2021,2341179.0,134,Measles,5.7236119066504525
Gabon,GAB,2021,2341179.0,12000,Tuberculosis,512.5622602970554
Gambia,GMB,2021,2639916.0,213311,Malaria,8080.219219096366
Gambia,GMB,2021,2639916.0,0,Measles,0.0
Gambia,GMB,2021,2639916.0,3900,Tuberculosis,147.73197329005924
Georgia,GEO,2021,3757980.0,0,Malaria,0.0
Georgia,GEO,2021,3757980.0,5,Measles,0.1330502025024082
Georgia,GEO,2021,3757980.0,2400,Tuberculosis,63.86409720115594
Germany,DEU,2021,83408554.0,4200,Tuberculosis,5.035454756834652
Ghana,GHA,2021,32833031.0,5396652,Malaria,16436.654904020284
Ghana,GHA,2021,32833031.0,52,Measles,0.15837709287333235
Ghana,GHA,2021,32833031.0,45000,Tuberculosis,137.0570996019222
Greece,GRC,2021,10445365.0,0,Measles,0.0
Greece,GRC,2021,10445365.0,430,Tuberculosis,4.116658441327805
Greenland,GRL,2021,56243.0,39,Tuberculosis,69.34196255534022
Grenada,GRD,2021,124610.0,4,Tuberculosis,3.210015247572426
Guam,GUM,2021,170534.0,67,Tuberculosis,39.28835305569564
Guatemala,GTM,2021,17608483.0,1493,Malaria,8.478867827512456
Guatemala,GTM,2021,17608483.0,0,Measles,0.0
Guatemala,GTM,2021,17608483.0,4800,Tuberculosis,27.25958846085719
Guinea,GIN,2021,13531906.0,4477687,Malaria,33089.847062195084
Guinea,GIN,2021,13531906.0,505,Measles,3.73192069173404
Guinea,GIN,2021,13531906.0,24000,Tuberculosis,177.35860713191477
Guinea-Bissau,GNB,2021,2060721.0,216542,Malaria,10508.069748403592
Guinea-Bissau,GNB,2021,2060721.0,7400,Tuberculosis,359.097616804992
Guyana,GUY,2021,804567.0,25792,Malaria,3205.699463189517
Guyana,GUY,2021,804567.0,0,Measles,0.0
Guyana,GUY,2021,804567.0,670,Tuberculosis,83.27460609246961
Haiti,HTI,2021,11447569.0,22546,Malaria,196.9501122902164
Haiti,HTI,2021,11447569.0,0,Measles,0.0
Haiti,HTI,2021,11447569.0,18000,Tuberculosis,157.23862420047436
Honduras,HND,2021,10278345.0,2290,Malaria,22.279851474142966
Honduras,HND,2021,10278345.0,0,Measles,0.0
Honduras,HND,2021,10278345.0,3400,Tuberculosis,33.079255463793054
Hungary,HUN,2021,9709786.0,0,Measles,0.0
Hungary,HUN,2021,9709786.0,360,Tuberculosis,3.7075997349478143
Iceland,ISL,2021,370335.0,0,Measles,0.0
Iceland,ISL,2021,370335.0,11,Tuberculosis,2.9702836620897295
India,IND,2021,1407563842.0,4265027,Malaria,303.0077125269036
India,IND,2021,1407563842.0,5700,Measles,0.4049549888906566
India,IND,2021,1407563842.0,2950000,Tuberculosis,209.5819679346381
Indonesia,IDN,2021,273753191.0,811636,Malaria,296.48458052129155
Indonesia,IDN,2021,273753191.0,394,Measles,0.14392526295702612
Indonesia,IDN,2021,273753191.0,969000,Tuberculosis,353.968476663346
Iran (Islamic Republic of),IRN,2021,87923432.0,0,Malaria,0.0
Iran (Islamic Republic of),IRN,2021,87923432.0,103,Measles,0.11714738341879104
Iran (Islamic Republic of),IRN,2021,87923432.0,10000,Tuberculosis,11.37353237075641
Iraq,IRQ,2021,43533592.0,0,Malaria,0.0
Iraq,IRQ,2021,43533592.0,197,Measles,0.4525241105764946
Iraq,IRQ,2021,43533592.0,11000,Tuberculosis,25.26784373777381
Ireland,IRL,2021,4986526.0,0,Measles,0.0
Ireland,IRL,2021,4986526.0,240,Tuberculosis,4.812969991533183
Israel,ISR,2021,8900059.0,0,Measles,0.0
Israel,ISR,2021,8900059.0,240,Tuberculosis,2.6966113370709115
Italy,ITA,2021,59240329.0,9,Measles,0.01519235316873409
Italy,ITA,2021,59240329.0,2900,Tuberculosis,4.895313798814318
Jamaica,JAM,2021,2827695.0,0,Measles,0.0
Jamaica,JAM,2021,2827695.0,94,Tuberculosis,3.324262340881884
Japan,JPN,2021,124612530.0,6,Measles,0.004814925112265998
Japan,JPN,2021,124612530.0,13000,Tuberculosis,10.432337743242995
Jordan,JOR,2021,11148278.0,470,Tuberculosis,4.215897737749274
Kazakhstan,KAZ,2021,19196465.0,0,Malaria,0.0
Kazakhstan,KAZ,2021,19196465.0,2,Measles,0.010418584880080786
Kazakhstan,KAZ,2021,19196465.0,14000,Tuberculosis,72.9300941605655
Kenya,KEN,2021,53005614.0,3419698,Malaria,6451.576997108269
Kenya,KEN,2021,53005614.0,266,Measles,0.501833635961655
Kenya,KEN,2021,53005614.0,133000,Tuberculosis,250.91681798082746
Kiribati,KIR,2021,128874.0,1,Measles,0.7759517047658954
Kiribati,KIR,2021,128874.0,550,Tuberculosis,426.77343762124246
Kuwait,KWT,2021,4250114.0,3,Measles,0.0705863419192991
Kuwait,KWT,2021,4250114.0,850,Tuberculosis,19.999463543801415
Kyrgyzstan,KGZ,2021,6527743.0,0,Malaria,0.0
Kyrgyzstan,KGZ,2021,6527743.0,3,Measles,0.0459576916554466
Kyrgyzstan,KGZ,2021,6527743.0,8500,Tuberculosis,130.21345969043207
Lao People's Democratic Republic,LAO,2021,7425057.0,6403,Malaria,86.23502822941292
Lao People's Democratic Republic,LAO,2021,7425057.0,2,Measles,0.026935820155993415
Lao People's Democratic Republic,LAO,2021,7425057.0,11000,Tuberculosis,148.14701085796378
Latvia,LVA,2021,1873919.0,0,Measles,0.0
Latvia,LVA,2021,1873919.0,290,Tuberculosis,15.475588859497128
Lebanon,LBN,2021,5592631.0,540,Tuberculosis,9.655562829015539
Lesotho,LSO,2021,2281454.0,368,Measles,16.130064423827964
Lesotho,LSO,2021,2281454.0,14000,Tuberculosis,613.6437552543247
Liberia,LBR,2021,5193416.0,1852429,Malaria,35668.796799640164
Liberia,LBR,2021,5193416.0,250,Measles,4.813787303000568
Liberia,LBR,2021,5193416.0,16000,Tuberculosis,308.08238739203637
Libya,LBY,2021,6735277.0,4000,Tuberculosis,59.38879722393006
Lithuania,LTU,2021,2786651.0,0,Measles,0.0
Lithuania,LTU,2021,2786651.0,720,Tuberculosis,25.837465832642838
Luxembourg,LUX,2021,639321.0,0,Measles,0.0
Luxembourg,LUX,2021,639321.0,39,Tuberculosis,6.100221954229566
Madagascar,MDG,2021,28915653.0,4911293,Malaria,16984.893960375026
Madagascar,MDG,2021,28915653.0,44,Measles,0.15216671745230861
Madagascar,MDG,2021,28915653.0,67000,Tuberculosis,231.7084106660154
Malawi,MWI,2021,19889742.0,4359158,Malaria,21916.614101882267
Malawi,MWI,2021,19889742.0,5,Measles,0.02513858651359078
Malawi,MWI,2021,19889742.0,26000,Tuberculosis,130.72064987067202
Malaysia,MYS,2021,33573874.0,0,Malaria,0.0
Malaysia,MYS,2021,33573874.0,128,Measles,0.3812488246068952
Malaysia,MYS,2021,33573874.0,33000,Tuberculosis,98.29071259396518
