country,iso3,year,population,cases,disease
Malaysia,MYS,2021,33573874,33000,Tuberculosis
Maldives,MDV,2021,521457,200,Tuberculosis
Mali,MLI,2021,21904983,11000,Tuberculosis
Malta,MLT,2021,526748,62,Tuberculosis
Marshall Islands,MHL,2021,42050,200,Tuberculosis
Mauritania,MRT,2021,4614974,3800,Tuberculosis
Mauritius,MUS,2021,1298915,160,Tuberculosis
Mexico,MEX,2021,126705138,32000,Tuberculosis
Micronesia (Federated States of),FSM,2021,113131,90,Tuberculosis
Monaco,MCO,2021,36686,0,Tuberculosis
Mongolia,MNG,2021,3347782,14000,Tuberculosis
Montenegro,MNE,2021,627859,98,Tuberculosis
Montserrat,MSR,2021,4417,0,Tuberculosis
Morocco,MAR,2021,37076584,35000,Tuberculosis
Mozambique,MOZ,2021,32077072,116000,Tuberculosis
Myanmar,MMR,2021,53798084,194000,Tuberculosis
Namibia,NAM,2021,2530151,12000,Tuberculosis
Nauru,NRU,2021,12511,24,Tuberculosis
Nepal,NPL,2021,30034989,69000,Tuberculosis
Netherlands (Kingdom of the),NLD,2021,17501696,770,Tuberculosis
New Caledonia,NCL,2021,287800,29,Tuberculosis
New Zealand,NZL,2021,5129727,350,Tuberculosis
Nicaragua,NIC,2021,6850540,3100,Tuberculosis
Niger,NER,2021,25252722,20000,Tuberculosis
Nigeria,NGA,2021,213401323,467000,Tuberculosis
Niue,NIU,2021,1937,1,Tuberculosis
North Macedonia,MKD,2021,2103330,240,Tuberculosis
Northern Mariana Islands,MNP,2021,49481,40,Tuberculosis
Norway,NOR,2021,5403021,160,Tuberculosis
"occupied Palestinian territory, including east Jerusalem",PSE,2021,5133392,31,Tuberculosis
Oman,OMN,2021,4520471,270,Tuberculosis
Pakistan,PAK,2021,231402117,611000,Tuberculosis
Palau,PLW,2021,18024,9,Tuberculosis
Panama,PAN,2021,4351267,1800,Tuberculosis
Papua New Guinea,PNG,2021,9949437,42000,Tuberculosis
Paraguay,PRY,2021,6703799,3200,Tuberculosis
Peru,PER,2021,33715471,44000,Tuberculosis
Philippines,PHL,2021,113880328,741000,Tuberculosis
Poland,POL,2021,38307726,4000,Tuberculosis
Portugal,PRT,2021,10290103,1700,Tuberculosis
Puerto Rico,PRI,2021,3256028,20,Tuberculosis
Qatar,QAT,2021,2688235,1100,Tuberculosis
Republic of Korea,KOR,2021,51830139,23000,Tuberculosis
Republic of Moldova,MDA,2021,3061506,2600,Tuberculosis
Romania,ROU,2021,19328560,8700,Tuberculosis
Russian Federation,RUS,2021,145102755,69000,Tuberculosis
Rwanda,RWA,2021,13461888,7600,Tuberculosis
Saint Kitts and Nevis,KNA,2021,47606,0,Tuberculosis
Saint Lucia,LCA,2021,179651,3,Tuberculosis
Saint Vincent and the Grenadines,VCT,2021,104332,9,Tuberculosis
Samoa,WSM,2021,218764,15,Tuberculosis
San Marino,SMR,2021,33745,0,Tuberculosis
Sao Tome and Principe,STP,2021,223107,250,Tuberculosis
Saudi Arabia,SAU,2021,35950396,3000,Tuberculosis
Senegal,SEN,2021,16876720,19000,Tuberculosis
Serbia,SRB,2021,7296769,1100,Tuberculosis
Seychelles,SYC,2021,106471,13,Tuberculosis
Sierra Leone,SLE,2021,8420641,24000,Tuberculosis
Singapore,SGP,2021,5941060,2800,Tuberculosis
Sint Maarten (Dutch part),SXM,2021,44042,1,Tuberculosis
Slovakia,SVK,2021,5447622,150,Tuberculosis
Slovenia,SVN,2021,2119410,91,Tuberculosis
Solomon Islands,SLB,2021,707851,460,Tuberculosis
Somalia,SOM,2021,17065581,43000,Tuberculosis
South Africa,ZAF,2021,59392255,304000,Tuberculosis
South Sudan,SSD,2021,10748272,24000,Tuberculosis
Spain,ESP,2021,47486935,3900,Tuberculosis
Sri Lanka,LKA,2021,21773441,14000,Tuberculosis
Sudan,SDN,2021,45657202,26000,Tuberculosis
Suriname,SUR,2021,612985,180,Tuberculosis
Sweden,SWE,2021,10467097,400,Tuberculosis
Switzerland,CHE,2021,8691406,410,Tuberculosis
Syrian Arab Republic,SYR,2021,21324367,3800,Tuberculosis
